DATE_RECEIVED,PRODUCT_NAME,SUB_PRODUCT,ISSUE,SUB_ISSUE,CONSUMER_COMPLAINT_NARRATIVE,COMPANY_PUBLIC_RESPONSE,COMPANY,STATE_NAME,ZIP_CODE,TAGS,CONSUMER_CONSENT_PROVIDED,SUBMITTED_VIA,DATE_SENT_TO_COMPANY,COMPANY_RESPONSE_TO_CONSUMER,TIMELY_RESPONSE,CONSUMER_DISPUTED,COMPLAINT_ID
2013-07-30,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMorgan Chase & Co.,NY,11772,,N/A,Web,01-08-2013,Closed with explanation,Yes,No,472678
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,MI,49042,,N/A,Referral,02-08-2013,Closed with explanation,Yes,No,469653
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,NY,10803,,N/A,Referral,30-07-2013,Closed with explanation,Yes,Yes,469664
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,HSBC North America Holdings Inc.,OH,44112,Older American,N/A,Phone,30-07-2013,Closed with explanation,Yes,No,469669
2013-07-30,Bank account or service,Checking account,Account opening or closing or or management,,,,Bank of America,IL,60626,,N/A,Phone,31-07-2013,Closed with monetary relief,Yes,No,469836
2013-07-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,TransUnion Intermediate Holdings or Inc.,OR,97236,,N/A,Postal mail,20-08-2013,Closed with explanation,Yes,No,471021
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,SunTrust Banks or Inc.,FL,32084,,N/A,Referral,02-08-2013,Closed with non-monetary relief,Yes,No,469863
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Citibank,CA,95821,,N/A,Referral,31-07-2013,Closed with explanation,Yes,Yes,480488
2013-07-29,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,NY,10019,,N/A,Web,30-07-2013,Closed with explanation,Yes,Yes,469070
2013-07-29,Credit card,,APR or interest rate,,,,Synchrony Financial,WA,98548,,N/A,Web,29-07-2013,Closed with monetary relief,Yes,No,469131
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Navient Solutions or Inc.,OH,45150,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469210
2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc,CA,92677,,N/A,Referral,05-08-2013,Closed,Yes,Yes,479329
2013-07-29,Credit card,,Delinquent account,,,,Amex,TX,78232,,N/A,Web,29-07-2013,Closed with monetary relief,Yes,No,479990
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Navient Solutions or Inc.,FL,33133,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469340
2013-07-29,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Alpine Financial Solutions or Inc.,KY,42303,Older American,N/A,Postal mail,04-12-2013,Closed with explanation,Yes,No,469408
2013-07-29,Credit card,,Credit line increase/decrease,,,,Citibank,WI,53066,Older American,N/A,Phone,30-07-2013,Closed with explanation,Yes,Yes,469473
2013-07-29,Mortgage,Home equity loan or line of credit,Loan servicing or payments or escrow account,,,,Citizens Financial Group or Inc.,VT,5770,Servicemember,N/A,Web,01-08-2013,Closed with non-monetary relief,Yes,No,469589
2013-07-30,Credit card,,Closing/Cancelling account,,,,Citibank,TX,78249,,N/A,Web,30-07-2013,Closed with explanation,Yes,Yes,470852
2013-07-29,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,NY,14622,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,469670
2013-07-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Fidelity National Information Services or Inc. (FNIS),CO,81302,,N/A,Web,17-09-2013,Closed with explanation,Yes,No,469732
2013-07-31,Credit card,,Payoff process,,,,Citibank,NJ,7018,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,480935
2013-07-30,Credit card,,Credit determination,,,,Wells Fargo & Company,CA,95409,Older American,N/A,Web,29-07-2013,Closed with explanation,Yes,No,469738
2013-07-30,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,Select Portfolio Servicing or Inc,NY,11234,,N/A,Web,29-07-2013,Closed with explanation,Yes,Yes,466892
2013-07-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,TransUnion Intermediate Holdings or Inc.,IL,60633,,N/A,Postal mail,02-08-2013,Closed with explanation,Yes,No,470962
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,CA,95117,,N/A,Postal mail,05-08-2013,Closed with explanation,Yes,No,471037
2013-07-31,Debt collection,Other (i.e. phone or health club or etc.),Improper contact or sharing of info,Contacted me after I asked not to,,,Total Recovery Solutions,TX,77551,,N/A,Web,16-08-2013,Closed with explanation,Yes,Yes,482436
2013-07-31,Credit reporting,,Incorrect information on credit report,Public record,,,Experian,AL,35124,,N/A,Web,31-07-2013,Closed with non-monetary relief,Yes,No,476098
2013-07-31,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,Wells Fargo & Company,CA,90404,,N/A,Referral,05-08-2013,Closed with monetary relief,Yes,No,471379
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,VA,22306,,N/A,Postal mail,31-07-2013,Closed with explanation,Yes,No,474937
2013-07-29,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,JPMorgan Chase & Co.,CA,90703,,N/A,Referral,30-07-2013,Closed with explanation,Yes,No,469284
2013-07-29,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Asset Management Professionals or LLC,PA,19145,Older American,N/A,Phone,01-08-2013,Closed with explanation,No,,468904
2013-07-29,Mortgage,Conventional fixed mortgage,Application or originator or mortgage broker,,,,Wells Fargo & Company,NY,10605,,N/A,Web,31-07-2013,Closed with non-monetary relief,Yes,No,480173
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,NY,14467,,N/A,Referral,30-07-2013,Closed with explanation,Yes,Yes,469360
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Discover,MA,2043,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,467427
2013-07-30,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Ally Financial Inc.,MI,48238,,N/A,Fax,01-08-2013,Closed with explanation,Yes,No,469241
