DATE_RECEIVED,PRODUCT_NAME,SUB_PRODUCT,ISSUE,SUB_ISSUE,CONSUMER_COMPLAINT_NARRATIVE,COMPANY_PUBLIC_RESPONSE,COMPANY,STATE_NAME,ZIP_CODE,TAGS,CONSUMER_CONSENT_PROVIDED,SUBMITTED_VIA,DATE_SENT_TO_COMPANY,COMPANY_RESPONSE_TO_CONSUMER,TIMELY_RESPONSE,CONSUMER_DISPUTED,COMPLAINT_ID
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Disclosure verification of debt,Not given enough info to verify debt,,,Mercantile Adjustment Bureau or LLC,MA,1420,,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785265
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Disclosure verification of debt,Not given enough info to verify debt,,,Resurgent Capital Services L.P.,MA,1420,,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785266
2014-03-31,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,OH,45157,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785271
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt was paid,,,Focus Holding Company,MD,20876,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,784997
2014-03-31,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,JPMorgan Chase & Co.,MD,20746,Servicemember,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785344
2014-03-31,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,Nationstar Mortgage,CA,92694,,N/A,Fax,03-04-2014,Closed with explanation,Yes,Yes,784935
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt was paid,,,Hunter Warfield or Inc.,NM,87111,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785386
2014-03-31,Credit reporting,,Incorrect information on credit report,Account status,,,TransUnion Intermediate Holdings or Inc.,PA,17602,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786656
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,IL,61201,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,785419
2014-03-31,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Dynamic Recovery Solutions or LLC,FL,33635,,N/A,Phone,16-04-2014,Closed with explanation,Yes,No,785426
2014-03-31,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,TX,75067,,N/A,Postal mail,09-05-2014,Closed with explanation,Yes,No,785432
2014-03-31,Mortgage,FHA mortgage,Loan servicing or payments or escrow account,,,,Wells Fargo & Company,NH,3038,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785436
2014-03-31,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,NY,11202,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785454
2014-03-31,Bank account or service,Checking account,Using a debit or ATM card,,,,Santander Bank US,PA,18017,,N/A,Web,03-04-2014,Closed,Yes,No,785500
2014-03-31,Credit reporting,,Incorrect information on credit report,Public record,,,TransUnion Intermediate Holdings or Inc.,WI,53120,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,784978
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Select Portfolio Servicing or Inc,WI,53704,Older American or Servicemember,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785407
2014-03-31,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,NCMI Corporation,WA,99337,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785529
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,NJ,8080,,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,785530
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,SC,29801,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,786683
2014-03-31,Credit card,,Billing statement,,,,Citibank,NV,89139,Older American,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,787072
2014-03-31,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Ocwen,VA,24017,Servicemember,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785539
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,21st Mortgage Corporation,PA,17324,,N/A,Web,03-04-2014,Closed with explanation,Yes,Yes,786622
2014-03-31,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Loan Care,CA,92123,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,785568
2014-03-31,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Ocwen,NJ,8550,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,784909
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Disclosure verification of debt,Not given enough info to verify debt,,,Patenaude & Felix APC,PA,15904,,N/A,Web,03-04-2014,Closed with explanation,Yes,Yes,785603
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,OR,97302,,N/A,Postal mail,22-04-2014,Closed with non-monetary relief,Yes,No,786672
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,OR,97302,,N/A,Postal mail,22-04-2014,Closed with explanation,Yes,No,786674
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,OH,44060,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785624
2014-03-31,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,OH,44128,,N/A,Referral,03-04-2014,Closed with explanation,Yes,Yes,786662
2014-03-31,Credit card,,Billing disputes,,,,Amex,MA,1028,Older American,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785643
2014-03-31,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,TransUnion Intermediate Holdings or Inc.,VA,23226,,N/A,Web,01-04-2014,Closed with explanation,Yes,No,785630
2014-03-31,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,VA,23226,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785631
2014-03-31,Mortgage,Other mortgage,Application or originator or mortgage broker,,,,Ocwen,CA,90019,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,787095
2014-03-31,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,WA,98816,,N/A,Referral,07-04-2014,Closed with explanation,Yes,No,785672
2014-03-31,Credit card,,Payoff process,,,,USAA Savings,NC,27529,,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,785674
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,EverBank,WA,98366,,N/A,Referral,07-04-2014,Closed with explanation,Yes,No,785677
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,FL,33441,,N/A,Referral,03-04-2014,Closed with explanation,Yes,Yes,787032
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,OH,44601,Older American,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,786597
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,FL,33433,,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,785686
2014-03-31,Bank account or service,Checking account,Account opening or closing or or management,,,,JPMorgan Chase & Co.,TX,77090,,N/A,Referral,03-04-2014,Closed with explanation,Yes,Yes,785690
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,PA,17402,,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,785691
2014-03-31,Money transfers,International money transfer,Money was not available when promised,,,,The Western Union Company,TX,78759,,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785704
2014-03-31,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,EverBank,OH,44223,Older American,N/A,Phone,07-04-2014,Closed with explanation,Yes,No,785710
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Dovenmuehle Mortgage Inc.,NH,3867,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,785725
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,CA,93305,,N/A,Web,02-04-2014,Closed with explanation,Yes,,785732
2014-03-31,Credit card,,Delinquent account,,,,Synchrony Financial,NY,11214,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,785776
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,NY,11413,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785778
2014-03-31,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,,,Wells Fargo & Company,VA,22193,,N/A,Web,31-03-2014,Closed with non-monetary relief,Yes,No,787331
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,TX,79706,,N/A,Web,31-03-2014,Closed with non-monetary relief,Yes,No,785797
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,CA,90210,,N/A,Referral,03-04-2014,Closed with explanation,Yes,Yes,786716
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,FL,32168,Older American,N/A,Referral,03-04-2014,Closed with explanation,Yes,Yes,786720
2014-03-31,Mortgage,Home equity loan or line of credit,Loan servicing or payments or escrow account,,,,Regions Financial Corporation,FL,33914,Older American,N/A,Referral,03-04-2014,Closed with explanation,Yes,Yes,786721
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing or payments or escrow account,,,,Ocwen,MN,56470,,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785820
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,CA,91344,,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,786726
2014-03-31,Debt collection,Payday loan,Improper contact or sharing of info,Talked to a third party about my debt,,,Consolidated Management Group or LLC,MO,63109,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,784917
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,FL,34986,Servicemember,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,786733
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,FL,34953,,N/A,Referral,03-04-2014,Closed with explanation,Yes,No,786734
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Improper contact or sharing of info,Contacted me after I asked not to,,,Expert Global Solutions or Inc.,MD,20613,Servicemember,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785875
2014-03-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,CO,80204,,N/A,Web,31-03-2014,Closed with non-monetary relief,Yes,No,784963
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Fifth Third Financial Corporation,FL,33844,Older American,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,785923
2014-03-31,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,Discover,OK,73072,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785930
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,CA,93036,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,785962
2014-03-31,Bank account or service,Checking account,Deposits and withdrawals,,,,Citizens Financial Group or Inc.,MA,2190,,N/A,Web,04-04-2014,Closed with explanation,Yes,No,785971
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Improper contact or sharing of info,Talked to a third party about my debt,,,Allied Interstate LLC,CA,90044,,N/A,Phone,03-04-2014,Closed with non-monetary relief,Yes,No,785976
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing or payments or escrow account,,,,Ditech Financial LLC,IL,60657,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,785984
2014-03-31,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,,,Webcollex or LLC,NY,11520,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,787343
2014-03-31,Debt collection,Federal student loan,Disclosure verification of debt,Not given enough info to verify debt,,,Performant Financial Corporation,ME,4401,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,787344
2014-03-31,Bank account or service,Checking account,Account opening or closing or or management,,,,Bank of America,CA,92107,,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,786062
2014-03-31,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,Equifax,NY,11572,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,785942
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Taking/threatening an illegal action,Sued where didn't live/sign for debt,,,Encore Capital Group,WI,53105,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,787345
2014-03-31,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,American Coradius International LLC,CA,92240,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786109
2014-03-31,Credit reporting,,Incorrect information on credit report,Account status,,,TransUnion Intermediate Holdings or Inc.,IL,60510,,N/A,Fax,14-04-2014,Closed with explanation,Yes,No,787040
2014-03-31,Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,,,Enova International or Inc.,PA,15137,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786147
2014-03-31,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,Ocwen,PA,19143,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786648
2014-03-31,Mortgage,Home equity loan or line of credit,Application or originator or mortgage broker,,,,Wells Fargo & Company,VA,20165,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786148
2014-03-31,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,,,Richard J. Boudreau & Associates or LLC,TN,37149,,N/A,Phone,29-04-2014,Closed with explanation,Yes,No,786149
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt was paid,,,ERC,OH,44663,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,786157
2014-03-31,Money transfers,International money transfer,Fraud or scam,,,,The Western Union Company,PA,18444,Older American,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,786169
2014-03-31,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Ditech Financial LLC,OH,43229,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786174
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,Bank of America,NC,28037,,N/A,Web,31-03-2014,Closed with explanation,Yes,Yes,784984
2014-03-31,Credit card,,APR or interest rate,,,,JPMorgan Chase & Co.,CT,6001,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,787349
2014-03-31,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,Focus Holding Company,NY,11755,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786186
2014-03-31,Debt collection,Payday loan,Improper contact or sharing of info,Contacted employer after asked not to,,,ACE Cash Express Inc.,TX,77706,,N/A,Web,02-04-2014,Closed with explanation,Yes,No,786197
2014-03-31,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,Nationstar Mortgage,CA,95823,,N/A,Postal mail,10-04-2014,Closed with explanation,Yes,No,786216
2014-03-31,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,,,California Accounts Service,WA,98122,,N/A,Web,04-04-2014,Closed,Yes,No,787109
2014-03-31,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,,Consumer Collection Management. Inc,MO,63367,,N/A,Web,09-04-2014,Closed with explanation,No,,786278
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,CA,91950,Older American,N/A,Web,01-04-2014,Closed with non-monetary relief,Yes,No,786284
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),False statements or representation,Attempted to collect wrong amount,,,Sessoms & Rogers or P.A.,NC,27858,,N/A,Referral,04-04-2014,Closed with monetary relief,Yes,No,786749
2014-03-31,Debt collection,Auto,Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,Capital One,TN,38134,,N/A,Web,04-04-2014,Closed with explanation,Yes,Yes,786329
2014-03-31,Money transfers,International money transfer,Fraud or scam,,,,Bank of America,CA,91024,Older American,N/A,Web,31-03-2014,Closed with non-monetary relief,Yes,No,786330
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,TransUnion Intermediate Holdings or Inc.,FL,33321,Older American,N/A,Web,01-04-2014,Closed with non-monetary relief,Yes,No,786331
2014-03-31,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,OK,74129,,N/A,Postal mail,21-04-2014,Closed with explanation,Yes,No,786696
2014-03-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Citibank,NJ,8048,,N/A,Referral,04-04-2014,Closed with explanation,Yes,No,786412
2014-03-31,Mortgage,FHA mortgage,Loan servicing or payments or escrow account,,,,Nationstar Mortgage,KS,66053,,N/A,Web,04-04-2014,Closed with explanation,Yes,No,787030
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Specialized Loan Servicing LLC,CA,93722,Older American,N/A,Web,04-04-2014,Closed with explanation,Yes,Yes,786706
2014-03-31,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,CA,90014,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786741
2014-03-31,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,Expert Global Solutions or Inc.,TX,75231,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786232
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,ONLINE Information Services or Inc.,IN,46219,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786454
2014-03-31,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,NJ,7067,,N/A,Web,02-04-2014,Closed with explanation,Yes,No,786617
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,NJ,8062,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786481
2014-03-31,Credit card,,Customer service / Customer relations,,,,TD Bank US Holding Company,CA,91786,,N/A,Referral,04-04-2014,Closed with non-monetary relief,Yes,No,786499
2014-03-31,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Synchrony Financial,IL,61101,Servicemember,N/A,Web,31-03-2014,Closed with non-monetary relief,Yes,No,786515
2014-03-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,TransUnion Intermediate Holdings or Inc.,WI,53108,,N/A,Web,31-03-2014,Closed with non-monetary relief,Yes,No,786525
2014-03-31,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Ocwen,UT,84414,Older American,N/A,Phone,03-04-2014,Closed with explanation,Yes,No,786546
2014-03-30,Debt collection,Other (i.e. phone or health club or etc.),Communication tactics,Frequent or repeated calls,,,Receivables Performance Management LLC,IA,51601,,N/A,Web,29-03-2014,Closed with explanation,Yes,No,787133
2014-03-30,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,Encore Capital Group,CA,95124,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785016
2014-03-30,Credit card,,APR or interest rate,,,,Synchrony Financial,CA,92677,,N/A,Web,30-03-2014,Closed with explanation,Yes,Yes,785018
2014-03-30,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,AZ,85260,Servicemember,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785020
2014-03-30,Debt collection,I do not know,Disclosure verification of debt,Right to dispute notice not received,,,Citibank,TX,78228,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785024
2014-03-30,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,AES/PHEAA,NY,11226,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,785026
2014-03-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,EOS Holdings or Inc.,NY,11226,,N/A,Web,02-04-2014,Closed with explanation,Yes,Yes,785027
2014-03-30,Bank account or service,Other bank product/service,Making/receiving payments or sending money,,,,PayPal Holdings or Inc.,FL,33603,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785030
2014-03-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,NC,27278,,N/A,Web,30-03-2014,Closed with explanation,Yes,Yes,785033
2014-03-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Capital Management Services or LP,NC,27278,,N/A,Web,03-04-2014,Closed with explanation,Yes,No,787147
2014-03-30,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Ocwen,TN,37620,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785036
2014-03-30,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,TransUnion Intermediate Holdings or Inc.,FL,34472,,N/A,Web,30-03-2014,Closed with explanation,Yes,Yes,785038
2014-03-30,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,FL,33165,,N/A,Web,01-04-2014,Closed with non-monetary relief,Yes,No,785047
2014-03-30,Debt collection,Other (i.e. phone or health club or etc.),Disclosure verification of debt,Not given enough info to verify debt,,,Resurgent Capital Services L.P.,FL,32343,,N/A,Web,30-03-2014,Closed with monetary relief,Yes,No,785050
2014-03-30,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,,,Experian,FL,32095,,N/A,Web,01-04-2014,Closed with explanation,Yes,No,785055
2014-03-30,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Optio Solutions or LLC,GA,30907,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785056
2014-03-30,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,DE,19963,,N/A,Web,01-04-2014,Closed with non-monetary relief,Yes,No,785060
2014-03-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,BCA Financial Services or Inc.,FL,33196,,N/A,Web,30-03-2014,Closed with explanation,Yes,Yes,785061
2014-03-30,Credit reporting,,Incorrect information on credit report,Account status,,,TransUnion Intermediate Holdings or Inc.,PA,19555,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785065
2014-03-30,Debt collection,Other (i.e. phone or health club or etc.),False statements or representation,Attempted to collect wrong amount,,,Professional Credit Management or Inc,AR,72401,,N/A,Web,14-05-2014,Closed with non-monetary relief,Yes,No,787162
2014-03-30,Credit reporting,,Incorrect information on credit report,Account terms,,,Experian,IN,47172,,N/A,Web,01-04-2014,Closed with explanation,Yes,,785067
2014-03-30,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,Encore Capital Group,CO,80249,Servicemember,N/A,Web,30-03-2014,Closed with explanation,Yes,No,787104
2014-03-30,Mortgage,FHA mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,WV,25427,,N/A,Web,30-03-2014,Closed with explanation,Yes,Yes,785070
2014-03-30,Mortgage,FHA mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,CA,95269,,N/A,Web,30-03-2014,Closed with non-monetary relief,Yes,No,785071
2014-03-30,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Encore Capital Group,CT,6516,Older American,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785076
2014-03-30,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,NJ,8823,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785079
2014-03-30,Debt collection,Other (i.e. phone or health club or etc.),False statements or representation,Attempted to collect wrong amount,,,Encore Capital Group,PA,17404,,N/A,Web,29-04-2014,Closed with explanation,Yes,No,785087
2014-03-30,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,,,Experian,NY,11216,,N/A,Web,30-03-2014,Closed with non-monetary relief,Yes,No,787173
2014-03-30,Credit reporting,,Incorrect information on credit report,Account status,,,TransUnion Intermediate Holdings or Inc.,MO,63031,,N/A,Web,30-03-2014,Closed with non-monetary relief,Yes,No,785101
2014-03-30,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,Pinnacle Credit Services or LLC,NC,28027,,N/A,Web,30-03-2014,Closed with non-monetary relief,Yes,No,785104
2014-03-30,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,JPMorgan Chase & Co.,CA,90047,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,784936
2014-03-30,Credit card,,Credit line increase/decrease,,,,Citibank,CA,95125,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,786584
2014-03-30,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,Expert Global Solutions or Inc.,OH,45315,Older American or Servicemember,N/A,Web,31-03-2014,Closed with explanation,Yes,No,786704
2014-03-31,Money transfers,Domestic (US) money transfer,Money was not available when promised,,,,The Western Union Company,VA,23059,,N/A,Web,30-03-2014,Closed with explanation,Yes,No,785114
2014-03-31,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt was paid,,,Navient Solutions or Inc.,VA,24503,,N/A,Web,30-03-2014,Closed with monetary relief,Yes,No,786710
2014-03-31,Debt collection,Other (i.e. phone or health club or etc.),Improper contact or sharing of info,Contacted employer after asked not to,,,Rent Recover or LLC,IL,60657,,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785811
2014-03-30,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Discover,CT,6516,Older American,N/A,Web,31-03-2014,Closed with explanation,Yes,No,785077
2014-04-30,Credit reporting,,Incorrect information on credit report,Personal information,,,TransUnion Intermediate Holdings or Inc.,CT,6066,,N/A,Web,30-04-2014,Closed with explanation,Yes,,831678
2014-04-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Afni or Inc.,IL,60618,,N/A,Web,02-05-2014,Closed with explanation,Yes,No,831688
2014-04-30,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,Commercial Acceptance Company,PA,17352,,N/A,Web,30-04-2014,Closed with explanation,Yes,No,831624
2014-04-30,Mortgage,Home equity loan or line of credit,Loan servicing or payments or escrow account,,,,Ocwen,CA,92692,Older American,N/A,Web,30-04-2014,Closed with explanation,Yes,No,831694
2014-04-30,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,PennyMac Loan Services or LLC,CA,91367,,N/A,Web,30-04-2014,Closed with explanation,Yes,No,831611
2014-04-30,Debt collection,Other (i.e. phone or health club or etc.),False statements or representation,Attempted to collect wrong amount,,,Debt Recovery Solutions or LLC,IL,60101,Servicemember,N/A,Web,30-04-2014,Closed with explanation,Yes,Yes,831708
2014-04-30,Mortgage,Conventional adjustable mortgage (ARM),Application or originator or mortgage broker,,,,Wells Fargo & Company,NC,28730,Older American,N/A,Web,30-04-2014,Closed with explanation,Yes,No,831715
2014-04-30,Bank account or service,Checking account,Making/receiving payments or sending money,,,,Bank of America,CA,90069,,N/A,Web,30-04-2014,Closed with explanation,Yes,No,831721
2014-04-30,Money transfers,Domestic (US) money transfer,Fraud or scam,,,,PayPal Holdings or Inc.,SC,29036,,N/A,Web,30-04-2014,Closed with monetary relief,Yes,No,831722
